Title,Summary,Category
The Generals (novel),"The Generals is the second volume in Simon Scarrow's Wellington and Napoleon Quartet, which narrates mostly in alternate chapters, tells the story of  Sir Arthur Wellesley (the future Duke of Wellington) and the Corsican Brigadier Napoleon Bonaparte (the future Emperor of France).",Fiction
Igor Karkaroff,"The Death Eaters are characters featured in the Harry Potter series of novels and films. They are a radical group of wizards and witches, led by the dark wizard Lord Voldemort, who seek to purify the wizarding community by eliminating wizards and witches born to non-magical parents. They attempt to create a new order within the Ministry of Magic by spreading fear through the wizarding community and murdering those who speak out against them. Their primary opposition is the Order of the Phoenix.",Fiction
Le Saint prend l'affût,"Le Saint prend l'affût (English: The Saint Lies in Wait) is a 1966 French comedy crime film. It was directed by Christian-Jaque, starring Jean Marais. It is an adaptation of Leslie Charteris's French-only novel Le Saint prend l'affût (1960), featuring his character The Saint.",Fiction
The Saint Strikes Back,"The Saint Strikes Back is a 1939 American crime film directed by John Farrow. It marks the second cinematic incarnation of the antihero crimefighting character Simon Templar, alias ""The Saint"". George Sanders replaced Louis Hayward, who had played the Saint in The Saint in New York. The movie was produced by RKO and also featured Wendy Barrie as female gang leader Val Travers. Barrie would appear in two more Saint films, playing different roles each time, though not in the next film in the series, The Saint in London. This was the second of eight films in RKO's film series about The Saint, and the first of five with Sanders in the title role (Hugh Sinclair took over for the final two).",Fiction
Beorn,"Beorn is a character created by J. R. R. Tolkien, and part of his Middle-earth legendarium. He appears in The Hobbit as a ""skin-changer"", a man who could assume the form of a great black bear. His descendants or kinsmen, a group of Men known as the Beornings, dwell in the upper Vales of Anduin, between Mirkwood and the Misty Mountains, and are counted among the Free Peoples of Middle-earth who oppose Sauron's forces during the War of the Ring. Like the powerful medieval heroes Beowulf and Bödvar Bjarki, whose names both mean ""bear"", he exemplifies the Northern courage that Tolkien made a central virtue in The Lord of the Rings.",Fiction
Dadward,"Edward Cullen (né Edward Anthony Masen, Jr.) is a character in the Twilight book series by Stephenie Meyer. He is featured in the novels Twilight, New Moon, Eclipse and Breaking Dawn, and their corresponding film adaptations, and the novel Midnight Sun—a re-telling of the events of Twilight from Edward's perspective. Edward is a telepathic vampire who, over the course of the series, falls in love with, marries, and fathers a child with Bella Swan, a human teenager who later becomes a vampire as well. In the films, Edward is played by actor Robert Pattinson.",Fiction
Someday Angeline,"Someday Angeline is a children's novel written by American author Louis Sachar. The novel follows a girl named Angeline Persopolis who faces trouble at school because of her intelligence. It was originally released in 1983, but received a reprint in 2005 following Sachar's success with Holes.",Fiction
Quentin Butler,"Dune: The Butlerian Jihad is a 2002 science fiction novel by Brian Herbert and Kevin J. Anderson, set in the fictional Dune universe created by Frank Herbert. It is the first book in the Legends of Dune prequel trilogy, which takes place over 10,000 years before the events of Frank Herbert's celebrated 1965 novel Dune. The series chronicles the fictional Butlerian Jihad, a crusade by the last free humans in the universe against the thinking machines, a violent and dominating force led by the sentient computer Omnius.",Fiction
Regulus Corneas,The light novel Re:Zero and its derivative anime and manga adaptations feature a cast of characters created by Tappei Nagatsuki and designed by Shinichirou Otsuka.,Fiction
Champagne for One,"Champagne for One is a Nero Wolfe detective novel by Rex Stout, first published by the Viking Press in 1958.",Fiction
Nico di Angelo,A description of most characters featured in various mythology series by Rick Riordan.,Fiction
Hazel Levesque,A description of most characters featured in various mythology series by Rick Riordan.,Fiction
Battle Ground (novel),"Battle Ground is a novel by Jim Butcher and is the 17th novel in The Dresden Files. Battle Ground was published on September 29, 2020 by Little, Brown Book Group. In it Harry Dresden, the protagonist, attempts to stop the Titan Ethniu from destroying Chicago.",Fiction
Jen (Dune character),"Dune: Prophecy is an American science fiction television series developed by Diane Ademu-John and Alison Schapker for HBO. Set in Frank Herbert's Dune universe, the series focuses on the origins of the Bene Gesserit, a powerful social, religious, and political force whose members possess superhuman powers and abilities after undergoing years of intense physical and mental conditioning. Dune: Prophecy is a prequel to the 2021 Denis Villeneuve film Dune, which adapts the first half the 1965 novel of the same name by Frank Herbert, and it takes place some 10,000 years before the events of the film. The series, which draws on, but is set after, the Great Schools of Dune novel trilogy (2012–2016) by Brian Herbert and Kevin J. Anderson, is produced by Legendary Television, with Schapker serving as showrunner, writer, and executive producer.",Fiction
Aru Shah and the Tree of Wishes,"Aru Shah and the Tree of Wishes is a fantasy mythology book published by Disney-Hyperion on April 7, 2020, under the ""Rick Riordan Presents"" publishing imprint. It is the third book in the Pandava Quintet and was written by author Roshani Chokshi. It revolves around the titular character Aru Shah as she adventures in a world of Hindu mythology with her friends and fellow Pandava sisters.",Fiction
Diary of a Wimpy Kid: Wrecking Ball,"Diary of a Wimpy Kid: Wrecking Ball is the 14th book in the Diary of a Wimpy Kid series by Jeff Kinney. The story focuses on Greg; his mother, Susan; his father, Frank; and his best friend, Rowley; as the Heffley family renovate their house and prepare to move to a new neighborhood. It was released on November 5, 2019.",Fiction
The Starbuck Chronicles,The Starbuck Chronicles are a series of historical fiction novels by British author Bernard Cornwell set during the American Civil War. They follow the exploits of Boston-born Confederate officer Nathaniel Starbuck.,Fiction
The Divergent Series,"The Divergent Series is an American dystopian science fiction action film series based on the Divergent novels by the American author Veronica Roth. Distributed by Summit Entertainment and Lionsgate Films, the series is set in a dystopian society: Divergent, Insurgent, and Allegiant. They have been produced by Lucy Fisher, Pouya Shabazian, and Douglas Wick.",Fiction
The First Two Lives of Lukas-Kasha,The First Two Lives of Lukas-Kasha is a children's novel written by Lloyd Alexander in 1978. It follows the adventures of a young man named Lukas-Kasha who finds himself in another world after paying a street magician to perform a magic trick.,Fiction
The Great Saint Patrick's Day Flood,"The Great Saint Patrick's Day Flood is a short historical novel for children by the American writer Mildred S. Flaherty based on events of the Pittsburgh Flood of 1936 in Pittsburgh, Pennsylvania.",Fiction
Window of Time,"Window of Time is a children's book by Karen Weinberg and illustrated by Annelle Woggon Ratcliffe. It was published in 1991 by White Maine Publishing Company. Targeted to 8 to 12 year olds, the story follows a Westminster, Maryland-based boy living in 1988 who accidentally time traveled to the Battle of Gettysburg. The cover was designed by Harry A. West.",Fiction
The Serpent's Shadow (Riordan novel),"The Serpent's Shadow is a 2012 fantasy adventure novel based on Egyptian mythology written by American author Rick Riordan. It is the third and final novel in The Kane Chronicles series. It was published by Disney Hyperion on May 1, 2012.",Fiction
The Saint and the Templar Treasure,"The Saint and the Templar Treasure is the title of a 1979 mystery novel featuring the character of Simon Templar, alias ""The Saint"". The novel is written by Graham Weaver and Donne Avenell, but per the custom at this time, the author credit on the cover goes to Leslie Charteris, who created the Saint in 1928, and who served in an editorial capacity.",Fiction
Fog Magic,"Fog Magic by Julia L. Sauer is a children's fantasy novel set in Nova Scotia. It was a Newbery Honor recipient in 1944. Fog Magic tells the story of a young girl who, on foggy days, travels back in time to enter the past life of an abandoned village. Lynd Ward illustrated the book, which was published by Viking.",Fiction
George Washington's Socks,George Washington's Socks is a children's novel by Elvira Woodruff. It was published by Scholastic Books in 1991 and is the first book in her Time Travel Adventures series. The book has been used in classrooms to teach children about social studies and American history.,Fiction
Eagles in Middle-earth,"In J. R. R. Tolkien's Middle-earth, the Eagles or Great Eagles, are immense birds that are sapient and can speak. The Great Eagles resemble actual eagles, but are much larger. Thorondor is said to have been the greatest of all birds, with a wingspan of 30 fathoms (55 m; 180 ft). Elsewhere, the Eagles have varied in nature and size both within Tolkien's writings and in later adaptations.",Fiction
Amelia Peabody,"Amelia Peabody Emerson is the protagonist of the Amelia Peabody series, a series of historical mystery novels written by author Elizabeth Peters (a pseudonym of Egyptologist Barbara Mertz, 1927–2013). Peabody is married to Egyptologist Radcliffe Emerson and has one biological child, Walter ""Ramses"" Peabody Emerson.",Fiction
Piter De Vries,"Dune is a science fiction media franchise that originated with the 1965 novel of the same name by American author Frank Herbert. Dune is frequently cited as the best-selling science fiction novel in history, and won the 1966 Hugo Award as well as the inaugural Nebula Award for Best Novel. Herbert wrote five sequels before his death in 1986: Dune Messiah (1969), Children of Dune (1976), God Emperor of Dune (1981), Heretics of Dune (1984) and Chapterhouse: Dune (1985).",Fiction
Kirito (Sword Art Online),"Kazuto Kirigaya (桐ヶ谷 和人, Kirigaya Kazuto), born as Kazuto Narusaka (鳴坂 和人, Narusaka Kazuto), the protagonist of the Sword Art Online series of light novels written by Reki Kawahara. Known by a portmanteau of his name,  Kirito (キリト) which is his user name in the Sword Art Online video game which the series are partially set in.",Fiction
Roland Deschain,"Roland Deschain of Gilead is a fictional character and the protagonist of Stephen King's The Dark Tower series. He is the son of Steven and Gabrielle Deschain and is descended from a long line of ""gunslingers"", peacekeepers and diplomats of Roland's society.",Fiction
Who Put That Hair in My Toothbrush?,Who Put That Hair in My Toothbrush? is a 1984 young adult novel written by Jerry Spinelli.,Fiction
Necile,Necile is a wood nymph who becomes the adoptive mother of Santa Claus in the 1902 novel The Life and Adventures of Santa Claus.,Fiction
City of the Beasts,"City of the Beasts (Spanish: La ciudad de las bestias) is the first young adult novel by Chilean-American writer Isabel Allende.  Published in 2002, the story is set in the Amazon rainforest.  The novel was translated by Margaret Sayers Peden from Spanish to English. Walden Media acquired the novel's movie rights in 2006, but no film has yet been produced.",Fiction
Life in the Fat Lane,Life in the Fat Lane is a novel for young adults written by Cherie Bennett. The novel was included among the American Library Association Best Books for Young Adults. It was published in 1998 by Delacorte Press.,Fiction
Isengarders,"An orc (sometimes spelt ork; ), in J. R. R. Tolkien's Middle-earth fantasy fiction, is a race of humanoid monsters, which he also calls ""goblin"".",Fiction
Courting Disaster (novel),"Super Mystery is a 36-volume series of crossover paperbacks, pairing The Hardy Boys with Nancy Drew. Earlier crossovers include a 1970s TV series, the novelization of one of the TV episodes (The Hardy Boys and Nancy Drew Meet Dracula), two SuperSleuths books (each book containing 7 short stories), Campfire Stories (a book of 7 short stories in celebration of the anniversary of the Campfire organization), and the Be-A-Detective series (6 choose-your-own adventure books).",Fiction
Quinn (Sookie Stackhouse novels character),"The Southern Vampire Mysteries, also known as The True Blood Novels and The Sookie Stackhouse Novels, is a series of books written by bestselling author Charlaine Harris. The first installment, Dead Until Dark (2001), won the Anthony Award for Best Paperback Mystery in 2001 and later served as the source material for the HBO drama series True Blood (2008–2014). The book series has been retronymed the True Blood Series upon reprinting, to capitalize on the television adaptation.",Fiction
A World Without Princes,"A World Without Princes is a 2014 fairytale fantasy novel by Soman Chainani. The second book of The School for Good and Evil series and set after the events of the first novel, the book follows Sophie and Agatha who have returned to the village of Gavaldon, ending the ""curse"". However, Agatha secretly wishes for a different ending, reopening the gates to the School for Good and Evil which have become the School for Girls and Boys. First published on April 15, 2014, the book garnered positive reviews from critics.",Fiction
Witch & Wizard (series),"Witch & Wizard is a series of dystopian fantasy novels written by James Patterson and Gabrielle Charbonnet. The first novel in the series, Witch & Wizard, was released in 2009. It was followed by a new book in the series each following year, with the exception of 2012, until the release of the last book in the series, The Lost, in 2014. Two graphic novels set in the series' world were released in 2010 and 2011 through IDW Press.",Fiction
The Great Fire (Murphy novel),"The Great Fire is a story for children and young adults, written by Jim Murphy about the Great Chicago Fire of 1871, which caused the destruction of most of the city of Chicago. The Great Fire was a Newbery Medal honor book in 1996.",Fiction
Blinkie,"The Scarecrow of Oz is the ninth book in the Oz series written by L. Frank Baum. Published on July 16, 1915, it was Baum's personal favorite of the Oz books and tells of Cap'n Bill and Trot journeying to Oz and, with the help of the Scarecrow, overthrowing the corrupt King Krewl of Jinxland. Cap'n Bill and Trot (Mayre Griffiths) had previously appeared in two other novels by Baum, The Sea Fairies (1911) and Sky Island (1912). ",Fiction
Young Sherlock Holmes: Snake Bite,Young Sherlock Holmes: Snake Bite is the fifth novel in the Young Sherlock Holmes series that depicts Arthur Conan Doyle's detective Sherlock Holmes as a teenager in the 1860s. It was written by author Andy Lane and released in 2013.,Fiction
Dave at Night,"Dave at Night is a young adult, historical fiction novel written by award-winning author Gail Carson Levine in 1999. This book was inspired by leading figures in the arts during the Harlem Renaissance and her father, David Carson, whose childhood was spent in an orphanage.",Fiction
The Clue of the Broken Locket,"The Clue of the Broken Locket is the eleventh volume in the Nancy Drew Mystery Stories series.  It was first published in 1934 and was written by Mildred Benson under the pseudonym Carolyn Keene. It was later revised by Harriet Stratemeyer in 1965, and the story was mostly changed with a few elements of the original.",Fiction
By the Light of the Study Lamp,"By the Light of the Study Lamp is the first book in The Dana Girls detective series, originally produced by the Stratemeyer Syndicate.  It was issued in 1934, as part of a three-volume release in order to test the market for the series.",Fiction
Otto Suwen,The light novel Re:Zero and its derivative anime and manga adaptations feature a cast of characters created by Tappei Nagatsuki and designed by Shinichirou Otsuka.,Fiction
King Conan (character),"Conan the Barbarian (also known as Conan the Cimmerian) is a fictional sword and sorcery hero who originated in pulp magazines and has since been adapted to books, comics, films (including Conan the Barbarian and Conan the Destroyer), television programs (animated and live-action), video games, and role-playing games. Robert E. Howard created the character in 1932 for a series of fantasy stories published in Weird Tales magazine.",Fiction
Eve & Adam,Eve & Adam is a young adult science fiction romance novel by Michael Grant and Katherine Applegate. It was published in 2012 by Feiwel and Friends.,Fiction
Marcelo in the Real World,"Marcelo in the Real World is a young adult novel by Francisco Stork. Published in 2009, this award-winning book tells the story of a summer in the life of 17-year-old Marcelo Sandoval, a boy with Asperger-like characteristics.",Fiction
Borgel,Borgel is a children's novel by Daniel Pinkwater published in 1990.,Fiction
The Shelters of Stone,The Shelters of Stone is a historical fiction novel by Jean M. Auel published in April 2002. It is the sequel to The Plains of Passage – published 12 years earlier – and fifth in the Earth's Children series. It describes the return of Jondalar to his homeland along with Ayla.,Fiction
Eustace Scrubb,"Eustace Clarence Scrubb is a fictional character in C. S. Lewis's Chronicles of Narnia. He appears in The Voyage of the Dawn Treader, The Silver Chair, and The Last Battle. In The Voyage of the Dawn Treader, he is accompanied by Edmund and Lucy Pevensie, his cousins. In The Silver Chair and The Last Battle, he is accompanied by Jill Pole, a classmate from his school.",Fiction
Molly Carpenter,"The Dresden Files is a series of contemporary fantasy/mystery novels written by American author Jim Butcher. The first novel, Storm Front—which was also Butcher's writing debut—was published in 2000 by Roc Books.",Fiction
Irish Cream (novel),"Irish Cream is the eighth of the Nuala Anne McGrail series of mystery novels by Roman Catholic priest and author Father Andrew M. Greeley. It takes place in Chicago, Illinois in the present day, though the novel depicts flashbacks to events that took place in Donegal in the nineteenth century. The novel deals with themes such as Catholicism, psychic powers, celibacy, family, and Ireland–United Kingdom relations. The title refers the sense of elitism that certain people enjoy when they are the crème de la crème of society. The book's cover art was illustrated by Michael Koelsch.",Fiction
The Fault in Our Stars,"The Fault in Our Stars is a novel by John Green. It is his fourth solo novel, and sixth novel overall. It was published on January 10, 2012. The title is inspired by Act 1, Scene 2 of Shakespeare's play Julius Caesar, in which the nobleman Cassius says to Brutus: ""Men at some time were masters of their fates, / The fault, dear Brutus, is not in our stars, / But in ourselves, that we are underlings."" Author John Green was inspired to write the book after working as a student chaplain in a children's hospital, and it is dedicated to his friend Esther Earl, who died of thyroid cancer in 2010, age 16. The story is narrated by Hazel Grace Lancaster, a 16-year-old girl with thyroid cancer that has affected her lungs. Hazel is forced by her parents to attend a support group where she subsequently meets and falls in love with 17-year-old Augustus Waters, an ex-basketball player, amputee, and survivor of osteosarcoma.",Fiction
Dominic Vernius,"The Dune prequel series is a sequence of novel trilogies written by Brian Herbert and Kevin J. Anderson. Set in the Dune universe created by Frank Herbert, the novels take place in various time periods before and in between Herbert's original six novels, which began with 1965's Dune. In 1997, Bantam Books made a $3 million deal with the authors for three Dune prequel novels, partially based upon notes left behind by Frank Herbert, that would come to be known as the Prelude to Dune trilogy. Starting with 1999's Dune: House Atreides, the duo have published 15 Dune prequel novels to date.",Fiction
List of Alien vs. Predator novels,The Alien vs. Predator novels are an extension of the fictional crossover franchise of Alien vs. Predator. ,Fiction
The Quest of the Missing Map,The Quest of the Missing Map is the nineteenth volume in the Nancy Drew Mystery Stories series. It was first published in 1942 under the pseudonym Carolyn Keene. The actual author was ghostwriter Mildred Wirt Benson.,Fiction
Turtle in Paradise,"Turtle in Paradise is a 2010 children's novel written by Jennifer L. Holm. The book is a 2011 Newbery Honor Book and also won the Golden Kite Award. The main character, Turtle, is eleven years old and lives in Key West, Florida during the Great Depression. The Labor Day Hurricane of 1935 is also mentioned in this book.",Fiction
AA Dinwiddie,"The Unseen University (UU) is a school of wizardry in Terry Pratchett's Discworld series of fantasy novels. Located in the fictional city of Ankh-Morpork, the UU is staffed by mostly indolent and inept old wizards. The university's name is a pun on the Invisible College, and many aspects of the university are references to Oxford and Cambridge University. The exploits of the head wizards of the Unseen University are one of the main plot threads in the long-running fantasy series, and have played a central role in 13 novels to date, as well as the four supplementary Science of Discworld novels and the short story, A Collegiate Casting-Out of Devilish Devices.",Fiction
Adaon,"The Chronicles of Prydain is a five part series of children's high fantasy Bildungsroman novels written by American author Lloyd Alexander and published by Henry Holt and Company. The series includes: The Book of Three (1964), The Black Cauldron (1965), The Castle of Llyr (1966), Taran Wanderer (1967), and The High King (1968). The Black Cauldron earned a 1966 Newbery Honor, and The High King won the 1969 Newbery Medal.",Fiction
In the Forests of the Night,"In the Forests of the Night is a vampire novel written by Amelia Atwater-Rhodes, and published in 1999.  It was originally entitled White Wine. Atwater-Rhodes wrote it at the age of thirteen, but it was published on May 11, 1999, about a month after she turned fifteen. It is the first novel in the Den of Shadows series. It tells the story of a three-hundred-year-old vampire named Risika and her struggles throughout her life, both before and after she was turned into a vampire. The novel is told in first-person narrative by the protagonist, Risika. It was well-received by critics.",Fiction
Blue Moon (Hamilton novel),Blue Moon is the eighth in the Anita Blake: Vampire Hunter series of horror/mystery/erotica novels by Laurell K. Hamilton.,Fiction
Ellie Mayfair,"Lives of the Mayfair Witches is a trilogy of supernatural horror/fantasy novels by American novelist Anne Rice. It centers on a family of witches whose fortunes have been guided for generations by a spirit named Lasher. The series began in 1990 with The Witching Hour, which was followed by the sequels Lasher (1993) and Taltos (1994). All three novels debuted at No. 2 on The New York Times Best Seller list.",Fiction
The Time Paradox,"Artemis Fowl and the Time Paradox, known in America as Artemis Fowl: The Time Paradox, is the sixth book in the series Artemis Fowl by Irish writer Eoin Colfer. It was released in the U.S. on 5 July 2008, and on 7 August in the U.K. At 432 pages, it is the longest book in the series. In Colfer's video blogs, he mentioned the book, saying it may not be the last, but the last one for at least three years. It is followed by Artemis Fowl and the Atlantis Complex.",Fiction
Tomorrow series,"The Tomorrow series is a series of seven young adult invasion novels written by Australian writer John Marsden, detailing the invasion and occupation of Australia by a foreign power. The novels are related from the first-person perspective by Ellie Linton, a teenage girl, who is part of a small band of teenagers waging a guerrilla war on the enemy soldiers in the region around their fictional home town of Wirrawee. The name of the series is derived from the title of the first book, Tomorrow, When the War Began.",Fiction
If I Stay,"If I Stay is a young adult novel by Gayle Forman published in 2009. The story follows 17-year-old Mia Hall as she deals with the aftermath of a catastrophic car accident involving her family. Mia is the only member of her family to survive, and she finds herself in a coma. Through this coma, however, Mia has an out-of-body experience. Through this, she is able to watch the actions around her, as close friends and family gather at the hospital where she is being treated. The book follows Mia's stories and the unfolding of her life through a series of flashbacks. Mia finds herself stuck between two worlds: the world of the living, and the world of those who have moved on. Mia realizes that she must use her past and her relationships to make a decision for her future. Her options are to stay with her grandparents and Adam, her boyfriend, and cope with the grief of losing her parents and her brother. Or, join her deceased family members in the afterlife and avoid the pain of living without her mother, father, and little brother. The novel received positive reviews from the young adult audience, and Summit Entertainment optioned it in December 2010, for a 2014 film adaptation.",Fiction
Irma Pince,"The following is a list of characters from the Harry Potter series. Each character appears in at least one Harry Potter-related book or story by J. K. Rowling. These books and stories include the seven original Harry Potter novels (1997–2007), Fantastic Beasts and Where to Find Them (2001), Quidditch Through the Ages (2001), The Tales of Beedle the Bard (2008), Harry Potter and the Cursed Child (2016), Short Stories from Hogwarts of Power, Politics and Pesky Poltergeists (2016), Short Stories from Hogwarts of Heroism, Hardship and Dangerous Hobbies (2016), Hogwarts: An Incomplete and Unreliable Guide (2016) and the Harry Potter prequel (2008).",Fiction
Akata Witch,"Akata Witch (retitled What Sunny Saw in the Flames in Nigeria and the UK) is a 2011 young adult fantasy novel written by Nigerian American author Nnedi Okorafor. It was nominated for the Andre Norton Award and it is the first novel in her The Nsibidi Scripts series; it is followed by two sequels, Akata Warrior (2017) and Akata Woman (2022).",Fiction
Ironhammer,"The Discworld is the fictional world where English writer Sir Terry Pratchett's Discworld fantasy novels take place. It consists of an interstellar planet-sized disc, which sits on the backs of four huge elephants, themselves standing on the back of a world turtle, named Great A'Tuin, as it slowly swims through space.",Fiction
The Greek Symbol Mystery,"The Greek Symbol Mystery is the 60th volume in the Nancy Drew Mystery Stories series. It was originally published in paperback in 1981 by the Wanderer imprint of Simon & Schuster. The original edition had a cover and six interior illustrations by Ruth Sanderson. The cover art was later revised by Garin Baker in 1986 for the last Wanderer printing, and again by Linda Thomas in 1989 for the Minstrel printing.",Fiction
Crocodile on the Sandbank,"Crocodile on the Sandbank is a historical mystery novel by Elizabeth Peters, first published in 1975. It is the first in the Amelia Peabody series of novels and takes place in 1884–1885.",Fiction
Mikoto Misaka,"Mikoto Misaka (Japanese: 御坂 美琴, Hepburn: Misaka Mikoto) is a fictional character created by Kazuma Kamachi and first illustrated by Kiyotaka Haimura. She is a major character in the A Certain Magical Index light novel series and the main protagonist of its manga spin-off series A Certain Scientific Railgun.",Fiction
Bregalad,"Ents are giant humanoids in J. R. R. Tolkien's fantasy world of Middle-earth who closely resemble trees; their leader is Treebeard of Fangorn forest. Their name is derived from an Old English word for ""giant"".",Fiction
The Cat Who Knew Shakespeare,"The Cat Who Knew Shakespeare is the seventh book in The Cat Who series by Lilian Jackson Braun, published in 1988.",Fiction
Fairest (novel),"Fairest is a 2006 novel by Gail Carson Levine.  It uses some plot elements of the classic Snow White and is set in the same world as Ella Enchanted. The kingdom of Ayortha, the setting of the story, is the neighboring kingdom of Kyrria, where Ella Enchanted was set and the story makes several allusions to the previous work.",Fiction
The Billions of Arsène Lupin,"The Billions of Arsène Lupin is a detective novel by Maurice Leblanc about gentleman thief Arsène Lupin.  The novel appeared in 29 daily serials, illustrated by Jean Oberle in Auto from 10 January to 11 February 1939, then published in volume 16 in Hachette (Collection ""The Enigma"" No. 13) in November 1941, with illustrations by André Pécoud.",Fiction
